ref	pos	strand	convertedBaseCount	unconvertedBaseCount
1	26339	-	1	0
1	26343	-	1	0
1	26346	-	1	0
1	26347	-	1	0
1	26350	-	1	0
1	26366	-	1	0
1	26368	-	1	0
1	26374	-	1	0
1	26386	-	1	0
1	629100	+	1	0
1	629102	+	1	0
1	629106	+	1	0
1	629109	+	1	0
1	629112	+	1	0
1	629115	+	1	0
1	629121	+	1	0
1	629123	+	1	0
1	629124	+	1	0
1	629126	+	1	0
1	629130	+	1	0
1	629131	+	1	0
1	629132	+	1	0
1	629133	+	1	0
1	629136	+	1	0
1	629138	+	1	0
1	629139	+	1	0
1	629140	+	1	0
1	629221	-	1	0
1	629233	-	1	0
1	629254	-	1	0
1	629262	-	1	0
1	629283	-	1	0
1	629291	-	1	0
1	629297	-	1	0
1	629302	-	1	0
1	629312	-	1	0
1	629318	-	1	0
1	629323	-	1	0
1	629700	-	1	0
1	629702	-	1	0
1	629707	-	1	0
1	629711	-	1	0
1	629716	-	1	0
1	629728	-	1	0
1	629730	-	1	0
1	629733	-	1	0
1	630401	-	1	0
1	630407	-	1	0
1	630414	-	1	0
1	630415	-	1	0
1	630422	-	1	0
1	630430	-	1	0
1	630431	-	1	0
1	630432	-	1	0
1	630441	-	1	0
1	630444	-	1	0
1	630903	+	1	0
1	630905	+	1	0
1	630906	+	1	0
1	630907	+	1	0
1	630909	+	1	0
1	630910	+	1	0
1	630912	+	1	0
1	630913	+	1	0
1	630925	+	1	0
1	630934	+	1	0
1	630935	+	1	0
1	630936	+	1	0
1	630937	+	1	0
1	630940	+	1	0
1	630951	+	1	0
1	630954	+	1	0
1	630957	+	1	0
1	630960	+	1	0
1	630968	+	1	0
1	631063	+	1	0
1	631065	+	1	0
1	631066	+	1	0
1	631067	+	1	0
1	631068	+	1	0
1	631069	+	1	0
1	631071	+	1	0
1	631079	+	2	1
1	631081	+	3	0
1	631082	+	3	0
1	631085	+	3	0
1	631086	+	3	0
1	631092	+	4	0
1	631097	+	4	0
1	631099	+	4	0
1	631102	+	4	0
1	631106	+	4	0
1	631107	+	4	0
1	631109	+	4	0
1	631115	+	2	0
1	631123	+	2	0
1	631125	+	2	0
1	631130	+	2	0
1	631131	+	2	0
1	631139	+	2	0
1	631142	+	1	0
1	631144	+	1	0
1	631150	+	1	0
1	631199	+	1	0
1	631200	+	1	0
1	631203	+	1	0
1	631204	+	1	0
1	631208	+	1	0
1	631211	+	0	1
1	631212	+	1	0
1	631215	+	1	0
1	631223	+	1	0
1	631224	-	1	0
1	631226	+	1	0
1	631227	+	1	0
1	631229	+	1	0
1	631232	+	1	0
1	631235	+	1	0
1	631238	+	1	0
1	631239	-	1	0
1	631245	-	1	0
1	631251	-	1	0
1	631257	-	1	0
1	631287	+	1	0
1	631288	+	1	0
1	631289	+	1	0
1	631292	+	1	0
1	631298	+	1	0
1	631304	+	1	0
1	631310	+	1	0
1	631313	+	1	0
1	631317	+	1	0
1	631323	+	1	0
1	631324	+	1	0
1	631325	+	1	0
1	631326	+	1	0
1	631752	-	1	0
1	631780	-	1	0
1	631788	-	1	0
1	631789	-	1	0
1	631884	+	1	0
1	631896	+	1	0
1	631901	+	1	0
1	631910	+	2	0
1	631917	+	2	0
1	631920	+	2	0
1	631921	+	2	0
1	631932	+	1	0
1	631940	+	1	0
1	631942	+	1	0
1	631944	+	1	0
1	631945	+	1	0
1	631955	+	1	0
1	631996	-	1	0
1	632011	-	1	0
1	632046	+	1	0
1	632048	+	1	0
1	632049	+	1	0
1	632051	+	1	0
1	632053	+	1	0
1	632055	+	1	0
1	632056	+	1	0
1	632058	+	1	0
1	632064	+	1	0
1	632078	+	1	0
1	632081	+	1	0
1	632084	+	2	0
1	632089	+	2	0
1	632091	+	3	0
1	632096	+	3	0
1	632097	+	3	0
1	632098	+	3	0
1	632113	+	4	0
1	632118	+	4	0
1	632120	+	4	0
1	632121	+	4	0
1	632130	+	4	0
1	632131	+	4	0
1	632135	+	4	0
1	632139	+	4	0
1	632150	+	2	0
1	632154	+	1	0
1	632156	+	1	0
1	632159	+	1	0
1	632161	+	1	0
1	632166	+	1	0
1	632169	+	1	0
1	632170	-	1	0
1	632179	-	2	0
1	632184	-	2	0
1	632191	-	2	0
1	632194	-	2	0
1	632197	-	2	0
1	632212	-	1	0
1	632228	+	0	1
1	632236	-	2	0
1	632237	+	0	1
1	632238	+	0	1
1	632241	+	0	1
1	632245	-	2	0
1	632246	-	2	0
1	632248	-	2	0
1	632249	-	2	0
1	632250	+	0	1
1	632253	+	0	1
1	632257	+	0	1
1	632259	+	0	1
1	632261	-	3	0
1	632278	-	1	0
1	632279	-	1	0
1	632290	-	1	0
1	632394	+	1	0
1	632396	+	1	0
1	632400	+	1	0
1	632404	+	1	0
1	632405	+	1	0
1	632406	+	1	0
1	632411	+	1	0
1	632415	+	1	0
1	632417	+	1	0
1	632418	+	1	0
1	632420	+	1	0
1	632430	+	1	0
1	632431	+	1	0
1	632435	+	1	0
1	632438	+	1	0
1	632445	+	1	0
1	632447	+	1	0
1	632451	+	1	0
1	632761	+	1	0
1	632763	+	1	0
1	632767	+	1	0
1	632770	+	1	0
1	632772	+	1	0
1	632781	+	1	0
1	632784	+	1	0
1	632789	+	1	0
1	632791	+	1	0
1	632794	+	1	0
1	632797	+	1	0
1	632798	+	1	0
1	632799	+	1	0
1	632800	+	1	0
1	632804	+	1	0
1	632894	+	1	0
1	632896	+	1	0
1	632899	+	1	0
1	632904	+	1	0
1	632908	+	1	0
1	632914	+	1	0
1	632918	+	1	0
1	632921	+	1	0
1	632923	+	1	0
1	632927	+	1	0
1	632929	+	1	0
1	632931	+	1	0
1	632944	+	1	0
1	632945	+	1	0
1	633141	-	1	0
1	633147	-	1	0
1	633148	-	1	0
1	633150	-	1	0
1	633155	-	1	0
1	633157	-	1	0
1	633866	-	1	0
1	633870	-	1	0
1	633887	-	2	0
1	633888	-	2	0
1	633889	-	2	0
1	633892	-	2	0
1	633898	-	2	0
1	633912	-	1	0
1	633933	-	1	0
1	633951	-	1	0
1	634292	-	2	0
1	634302	-	1	0
1	634308	-	1	0
1	634311	-	1	0
1	634314	-	1	0
1	634326	-	1	0
1	634332	-	1	0
1	634529	+	1	0
1	634533	+	1	0
1	634534	+	1	0
1	634540	+	1	0
1	634541	+	1	0
1	634550	+	1	0
1	634552	+	1	0
1	634560	+	1	0
1	634562	+	1	0
1	634570	+	1	0
1	634572	+	1	0
1	634576	+	1	0
1	634577	+	1	0
1	634580	-	1	0
1	634581	-	1	0
1	634598	-	1	0
1	634603	-	1	0
1	634607	-	1	0
1	634608	-	1	0
1	634614	-	1	0
1	634618	+	1	0
1	634627	+	1	0
1	634628	+	1	0
1	634638	+	1	0
1	634639	+	1	0
1	634641	+	1	0
1	634654	+	1	0
1	634657	+	1	0
1	634659	+	1	0
1	634781	-	1	0
1	1455885	+	1	0
1	1455887	+	1	0
1	1455888	+	1	0
1	1455892	+	1	0
1	1455894	+	1	0
1	1455895	+	1	0
1	1455903	+	1	0
1	1455905	+	1	0
1	1455912	+	1	0
1	1455913	+	1	0
1	1456228	+	1	0
1	1456230	+	1	0
1	1456232	+	1	0
1	1456233	+	1	0
1	1456234	+	1	0
1	1456237	+	1	0
1	1456239	+	1	0
1	1456241	+	1	0
1	1456245	+	1	0
1	1486946	+	1	0
1	1486949	+	1	0
1	1486958	+	1	0
1	1486960	+	1	0
1	1486961	+	1	0
1	1486963	+	1	0
1	1486964	+	1	0
1	1486966	+	1	0
1	1486969	+	1	0
1	1486970	+	1	0
1	1486972	+	1	0
1	1486973	+	1	0
1	1486974	+	1	0
1	1486976	+	1	0
1	1486977	+	1	0
1	1486978	+	1	0
1	1486979	+	1	0
1	1486980	+	1	0
1	1486981	+	1	0
1	1486984	+	1	0
1	1486986	+	1	0
1	1486988	+	1	0
1	1486989	+	1	0
1	1486992	+	1	0
1	8057432	-	1	0
1	8057433	-	1	0
1	8057439	-	1	0
1	8057441	-	1	0
1	8057442	-	1	0
1	8057444	-	1	0
1	8057447	-	1	0
1	8057448	-	1	0
1	8057456	-	1	0
1	8057459	-	1	0
1	8057464	-	1	0
1	8057467	-	1	0
1	8057473	-	1	0
1	8057729	-	1	0
1	8057734	-	1	0
1	8057740	-	1	0
1	8057741	-	1	0
1	8057745	-	1	0
1	8057751	-	1	0
1	8057753	-	1	0
1	8057754	-	1	0
1	8057755	-	1	0
1	8057759	-	1	0
1	8861161	-	1	0
1	8861165	-	1	0
1	8861167	-	1	0
1	8861170	-	1	0
1	8861177	-	1	0
1	8861178	-	1	0
1	8861179	-	1	0
1	8861185	-	1	0
1	8861186	-	1	0
1	8861187	-	1	0
1	8861189	-	1	0
1	8861193	-	1	0
1	8861194	-	1	0
1	8861403	-	1	0
1	8861408	-	1	0
1	8861411	-	1	0
1	8861416	-	1	0
1	8862889	-	1	0
1	8862891	-	1	0
1	8862892	-	1	0
1	8862894	-	1	0
1	8862897	-	1	0
1	8862898	-	1	0
1	8862901	-	1	0
1	8862907	-	1	0
1	8862908	-	1	0
1	8862913	-	1	0
1	8862915	-	1	0
1	8862920	-	1	0
1	8862924	-	1	0
1	8865471	-	1	0
1	8865474	-	1	0
1	8865480	-	1	0
1	8865481	-	1	0
1	8866294	-	1	0
1	8866295	-	1	0
1	8866431	-	1	0
