ref	pos	strand	convertedBaseQualities	convertedBaseCount	unconvertedBaseQualities	unconvertedBaseCount
1	26339	-	F	1		0
1	26343	-	F	1		0
1	26346	-	F	1		0
1	26347	-	F	1		0
1	26350	-	F	1		0
1	26366	-	F	1		0
1	26368	-	F	1		0
1	26374	-	F	1		0
1	26386	-	F	1		0
1	629100	+	F	1		0
1	629102	+	F	1		0
1	629106	+	F	1		0
1	629109	+	F	1		0
1	629112	+	F	1		0
1	629115	+	F	1		0
1	629121	+	F	1		0
1	629123	+	F	1		0
1	629124	+	F	1		0
1	629126	+	F	1		0
1	629130	+	F	1		0
1	629131	+	F	1		0
1	629132	+	F	1		0
1	629133	+	F	1		0
1	629136	+	F	1		0
1	629138	+	F	1		0
1	629139	+	F	1		0
1	629140	+	F	1		0
1	629221	-	F	1		0
1	629233	-	F	1		0
1	629254	-	F	1		0
1	629262	-	F	1		0
1	629283	-	F	1		0
1	629291	-	F	1		0
1	629297	-	F	1		0
1	629302	-	F	1		0
1	629312	-	F	1		0
1	629318	-	F	1		0
1	629323	-	F	1		0
1	629700	-	F	1		0
1	629702	-	F	1		0
1	629707	-	F	1		0
1	629711	-	F	1		0
1	629716	-	F	1		0
1	629728	-	F	1		0
1	629730	-	F	1		0
1	629733	-	F	1		0
1	630401	-	F	1		0
1	630407	-	F	1		0
1	630414	-	F	1		0
1	630415	-	F	1		0
1	630422	-	F	1		0
1	630430	-	F	1		0
1	630431	-	F	1		0
1	630432	-	F	1		0
1	630441	-	F	1		0
1	630444	-	F	1		0
1	630903	+	F	1		0
1	630905	+	F	1		0
1	630906	+	F	1		0
1	630907	+	F	1		0
1	630909	+	F	1		0
1	630910	+	F	1		0
1	630912	+	F	1		0
1	630913	+	F	1		0
1	630925	+	F	1		0
1	630934	+	F	1		0
1	630935	+	F	1		0
1	630936	+	F	1		0
1	630937	+	F	1		0
1	630940	+	F	1		0
1	630951	+	F	1		0
1	630954	+	F	1		0
1	630957	+	F	1		0
1	630960	+	F	1		0
1	630968	+	F	1		0
1	631063	+	F	1		0
1	631065	+	F	1		0
1	631066	+	F	1		0
1	631067	+	F	1		0
1	631068	+	F	1		0
1	631069	+	F	1		0
1	631071	+	F	1		0
1	631079	+	FF	2	F	1
1	631081	+	FFF	3		0
1	631082	+	FFF	3		0
1	631085	+	FFF	3		0
1	631086	+	FFF	3		0
1	631092	+	FFFF	4		0
1	631097	+	FFFF	4		0
1	631099	+	FFFF	4		0
1	631102	+	FFFF	4		0
1	631106	+	FFFF	4		0
1	631107	+	FFFF	4		0
1	631109	+	FFFF	4		0
1	631115	+	FF	2		0
1	631123	+	FF	2		0
1	631125	+	FF	2		0
1	631130	+	FF	2		0
1	631131	+	FF	2		0
1	631139	+	FF	2		0
1	631142	+	F	1		0
1	631144	+	F	1		0
